"clubName","tablePosition","matchesPlayed","points","wins","draws","failures","goalBalance"
"FC Bayern München","1","20","51","16","3","1","62:19"
"Bayer 04 Leverkusen","2","20","45","13","6","1","49:27"
"Eintracht Frankfurt","3","20","38","11","5","4","45:27"
"RB Leipzig","4","20","33","9","6","5","34:29"
"VfB Stuttgart","5","20","32","9","5","6","37:30"
"1. FSV Mainz 05","6","20","31","9","4","7","33:24"
"Borussia Mönchengladbach","7","20","30","9","3","8","32:30"
"SV Werder Bremen","8","20","30","8","6","6","34:36"
"SC Freiburg","9","20","30","9","3","8","27:36"
"VfL Wolfsburg","10","20","29","8","5","7","43:35"
"Borussia Dortmund","11","20","29","8","5","7","36:34"
"FC Augsburg","12","20","26","7","5","8","24:35"
"FC St. Pauli","13","20","21","6","3","11","18:22"
"1. FC Union Berlin","14","20","21","5","6","9","16:27"
"TSG Hoffenheim","15","20","18","4","6","10","26:40"
"1. FC Heidenheim 1846","16","20","14","4","2","14","25:42"
"Holstein Kiel","17","20","12","3","3","14","31:52"
"VfL Bochum 1848","18","20","10","2","4","14","17:44"
