"clubName","tablePosition","matchesPlayed","points","wins","draws","failures","goalBalance"
"Liverpool","1","8","21","7","0","1","12"
"FC Barcelona","2","8","19","6","1","1","15"
"Arsenal","3","8","19","6","1","1","13"
"Internazionale","4","8","19","6","1","1","10"
"Atlético Madrid","5","8","18","6","0","2","8"
"Bayer 04 Leverkusen","6","8","16","5","1","2","8"
"Lille OSC","7","8","16","5","1","2","7"
"Aston Villa","8","8","16","5","1","2","7"
"Atalanta","9","8","15","4","3","1","14"
"Borussia Dortmund","10","8","15","5","0","3","10"
"Real Madrid","11","8","15","5","0","3","8"
"FC Bayern Munich","12","8","15","5","0","3","8"
"AC Milan","13","8","15","5","0","3","3"
"PSV","14","8","14","4","2","2","4"
"Paris Saint-Germain","15","8","13","4","1","3","5"
"Benfica","16","8","13","4","1","3","4"
"AS Monaco","17","8","13","4","1","3","0"
"Stade Brestois","18","8","13","4","1","3","-1"
"Feyenoord","19","8","13","4","1","3","-3"
"Juventus","20","8","12","3","3","2","2"
"Celtic","21","8","12","3","3","2","-1"
"Manchester City","22","8","11","3","2","3","4"
"Sporting CP","23","8","11","3","2","3","1"
"Club Brugge","24","8","11","3","2","3","-4"
"Dinamo Zagreb","25","8","11","3","2","3","-7"
"VfB Stuttgart","26","8","10","3","1","4","-4"
"Shakhtar Donetsk","27","8","7","2","1","5","-8"
"Bologna","28","8","6","1","3","4","-5"
"Crvena Zvezda","29","8","6","2","0","6","-9"
"Sturm Graz","30","8","6","2","0","6","-9"
