"clubName","tablePosition","matchesPlayed","points","wins","draws","failures","goalBalance"
"Lech Poznań","1","19","41","13","2","4","37:15"
"Jagiellonia Białystok","2","19","38","11","5","3","37:25"
"Raków Częstochowa","3","19","37","10","7","2","25:11"
"Legia Warszawa","4","19","33","9","6","4","37:24"
"Cracovia","5","19","32","9","5","5","36:28"
"Górnik Zabrze","6","19","31","9","4","6","27:21"
"Pogoń Szczecin","7","19","30","9","3","7","26:21"
"Motor Lublin","8","19","29","8","5","6","28:31"
"GKS Katowice","9","19","26","7","5","7","28:25"
"Piast Gliwice","10","19","25","6","7","6","21:19"
"Widzew Łódź","11","19","25","7","4","8","25:29"
"Radomiak Radom","12","19","20","6","2","11","23:31"
"Stal Mielec","13","19","19","5","4","10","19:25"
"Puszcza Niepołomice","14","19","19","4","7","8","18:27"
"KGHM Zagłębie Lubin","15","19","19","5","4","10","16:28"
"Korona Kielce","16","19","19","4","7","8","16:28"
"Lechia Gdańsk","17","19","15","3","6","10","19:34"
"Śląsk Wrocław","18","19","10","1","7","11","15:31"
