"clubName","tablePosition","matchesPlayed","points","wins","draws","failures","goalBalance"
"Real Madrid","1","22","49","15","4","3","+29"
"Atlético de Madrid","2","22","48","14","6","2","+23"
"FC Barcelona","3","22","45","14","3","5","+36"
"Athletic Club","4","22","41","11","8","3","+13"
"Villarreal CF","5","22","37","10","7","5","+11"
"Rayo Vallecano","6","22","32","8","8","6","+2"
"Girona FC","7","22","31","9","4","9","+1"
"CA Osasuna","8","22","30","7","9","6","-4"
"RCD Mallorca","9","22","30","9","3","10","-9"
"Real Betis","10","22","29","7","8","7","-3"
"Real Sociedad","11","22","28","8","4","10","-1"
"Sevilla FC","12","22","28","7","7","8","-6"
"RC Celta","13","22","25","7","4","11","-4"
"Getafe CF","14","22","24","5","9","8","0"
"UD Las Palmas","15","22","23","6","5","11","-9"
"CD Leganés","16","22","23","5","8","9","-11"
"RCD Espanyol de Barcelona","17","22","23","6","5","11","-12"
"Deportivo Alavés","18","22","21","5","6","11","-9"
"Valencia CF","19","22","19","4","7","11","-15"
"Real Valladolid CF","20","22","15","4","3","15","-32"
