"clubName","tablePosition","matchesPlayed","points","wins","draws","failures","goalBalance"
"Paris Saint-Germain","1","20","50","15","5","0","35"
"Olympique de Marseille","2","20","40","12","4","4","18"
"AS Monaco","3","20","37","11","4","5","12"
"Lille OSC","4","20","35","9","8","3","13"
"OGC Nice","5","20","34","9","7","4","13"
"RC Lens","6","20","33","9","6","5","7"
"Olympique Lyonnais","7","20","30","8","6","6","6"
"Stade Brestois","8","20","28","9","1","10","-5"
"RC Strasbourg Alsace","9","20","27","7","6","7","1"
"Toulouse FC","10","20","26","7","5","8","-1"
"AJ Auxerre","11","20","23","6","5","9","-6"
"Angers SCO","12","20","23","6","5","9","-7"
"Stade de Reims","13","20","22","5","7","8","-3"
"FC Nantes","14","20","21","4","9","7","-6"
"Stade Rennais","15","20","20","6","2","12","-3"
"AS Saint-Etienne","16","20","18","5","3","12","-24"
"Montpellier HSC","17","20","15","4","3","13","-26"
"Le Havre AC","18","20","14","4","2","14","-24"
