"clubName","tablePosition","matchesPlayed","points","wins","draws","failures","goalBalance"
"Liverpool","1","23","56","17","5","1","0:0"
"Arsenal","2","24","50","14","8","2","0:0"
"Nottingham Forest","3","24","47","14","5","5","0:0"
"Manchester City","4","24","41","12","5","7","0:0"
"Newcastle United","5","24","41","12","5","7","0:0"
"Chelsea","6","23","40","11","7","5","0:0"
"Bournemouth","7","24","40","11","7","6","0:0"
"Aston Villa","8","24","37","10","7","7","0:0"
"Fulham","9","24","36","9","9","6","0:0"
"Brighton & Hove Albion","10","24","34","8","10","6","0:0"
"Brentford","11","24","31","9","4","11","0:0"
"Crystal Palace","12","24","30","7","9","8","0:0"
"Manchester United","13","24","29","8","5","11","0:0"
"Tottenham Hotspur","14","24","27","8","3","13","0:0"
"West Ham United","15","23","27","7","6","10","0:0"
"Everton","16","23","26","6","8","9","0:0"
"Wolverhampton Wanderers","17","24","19","5","4","15","0:0"
"Leicester City","18","24","17","4","5","15","0:0"
"Ipswich Town","19","24","16","3","7","14","0:0"
"Southampton","20","24","9","2","3","19","0:0"
