"clubName","tablePosition","matchesPlayed","points","wins","draws","failures","goalBalance"
"Napoli","1","23","54","17","3","3","22"
"Internazionale","2","23","51","15","6","2","34"
"Atalanta","3","23","47","14","5","4","23"
"Fiorentina","4","23","42","12","6","5","17"
"SS Lazio","5","23","42","13","3","7","9"
"Juventus","6","23","40","9","13","1","19"
"Bologna","7","22","37","9","10","3","8"
"AC Milan","8","22","35","9","8","5","9"
"AS Roma","9","23","31","8","7","8","5"
"Udinese","10","23","29","8","5","10","-8"
"Torino","11","23","27","6","9","8","-3"
"Genoa","12","23","26","6","8","9","-11"
"Hellas Verona","13","23","23","7","2","14","-22"
"Lecce","14","23","23","6","5","12","-23"
"Como","15","23","22","5","7","11","-11"
"Empoli","16","23","21","4","9","10","-11"
"Cagliari","17","23","21","5","6","12","-14"
"Parma","18","23","20","4","8","11","-13"
"Venezia","19","23","16","3","7","13","-16"
"Monza","20","23","13","2","7","14","-14"
